id,architecture,reference_path,search_path,gt_x,gt_y,canvas_seed,crop_index,jitter_profile,imaging_noise_profile,geometric_profile,scale_ratio,rotation_deg,predicted_x,predicted_y,confidence,runtime_ms
0,dram,results/sample_dataset/reference/00000.png,results/sample_dataset/search/00000.png,338.3,537.1,200000,0,normal,normal,normal,1.0,0.0,338.894,537.086,0.9852,435.86
1,dram,results/sample_dataset/reference/00001.png,results/sample_dataset/search/00001.png,473.5,874.5,200001,0,normal,normal,normal,1.0,0.0,474.813,874.962,0.9853,34.87
2,dram,results/sample_dataset/reference/00002.png,results/sample_dataset/search/00002.png,416.3,741.9,200002,0,normal,normal,normal,1.0,0.0,418.079,741.997,0.9484,67.77
3,dram,results/sample_dataset/reference/00003.png,results/sample_dataset/search/00003.png,260.9,420.8,200003,0,normal,normal,normal,1.0,0.0,261.736,420.933,0.9636,68.90
4,dram,results/sample_dataset/reference/00004.png,results/sample_dataset/search/00004.png,625.1,506.3,200004,0,normal,normal,normal,1.0,0.0,625.789,505.966,0.9810,33.14
5,dram,results/sample_dataset/reference/00005.png,results/sample_dataset/search/00005.png,512.5,233.1,200005,0,normal,normal,normal,1.0,0.0,513.421,233.637,0.9225,33.50
6,dram,results/sample_dataset/reference/00006.png,results/sample_dataset/search/00006.png,947.6,570.0,200006,0,normal,normal,normal,1.0,0.0,946.185,569.524,0.9599,68.52
7,dram,results/sample_dataset/reference/00007.png,results/sample_dataset/search/00007.png,233.4,325.6,200007,0,normal,normal,normal,1.0,0.0,233.701,325.928,0.9895,65.95
8,dram,results/sample_dataset/reference/00008.png,results/sample_dataset/search/00008.png,557.8,492.2,200100,0,normal,harsh,normal,1.0,0.0,556.155,491.957,0.9237,34.40
9,dram,results/sample_dataset/reference/00009.png,results/sample_dataset/search/00009.png,716.0,237.0,200101,0,normal,harsh,normal,1.0,0.0,718.329,234.667,0.9460,33.96
10,dram,results/sample_dataset/reference/00010.png,results/sample_dataset/search/00010.png,227.9,373.4,200102,0,normal,harsh,normal,1.0,0.0,225.730,373.406,0.6791,68.40
11,dram,results/sample_dataset/reference/00011.png,results/sample_dataset/search/00011.png,648.1,50.6,200103,0,normal,harsh,normal,1.0,0.0,647.567,50.066,0.5582,34.34
12,dram,results/sample_dataset/reference/00012.png,results/sample_dataset/search/00012.png,816.7,202.2,200104,0,normal,harsh,normal,1.0,0.0,823.233,194.906,0.7728,68.95
13,dram,results/sample_dataset/reference/00013.png,results/sample_dataset/search/00013.png,889.8,731.2,200105,0,normal,harsh,normal,1.0,0.0,902.246,734.489,0.3515,34.00
14,dram,results/sample_dataset/reference/00014.png,results/sample_dataset/search/00014.png,391.8,321.3,200106,0,normal,harsh,normal,1.0,0.0,391.208,321.351,0.9182,34.38
15,dram,results/sample_dataset/reference/00015.png,results/sample_dataset/search/00015.png,172.1,92.5,200107,0,normal,harsh,normal,1.0,0.0,174.137,94.605,0.5473,65.52
16,dram,results/sample_dataset/reference/00016.png,results/sample_dataset/search/00016.png,425.5,791.4,200200,0,normal,normal,drift,1.0776,-0.0012,426.452,791.469,0.9890,33.05
17,dram,results/sample_dataset/reference/00017.png,results/sample_dataset/search/00017.png,583.0,730.0,200201,0,normal,normal,drift,0.9704,1.1124,583.605,729.739,0.5610,34.15
18,dram,results/sample_dataset/reference/00018.png,results/sample_dataset/search/00018.png,294.0,615.6,200202,0,normal,normal,drift,1.0604,0.6348,294.099,615.355,0.9893,33.28
19,dram,results/sample_dataset/reference/00019.png,results/sample_dataset/search/00019.png,259.5,574.0,200203,0,normal,normal,drift,1.0371,-0.4156,259.739,573.981,0.8790,68.26
20,dram,results/sample_dataset/reference/00020.png,results/sample_dataset/search/00020.png,579.1,445.8,200204,0,normal,normal,drift,0.9845,-1.3116,579.366,445.879,0.9871,74.47
21,dram,results/sample_dataset/reference/00021.png,results/sample_dataset/search/00021.png,116.9,865.2,200205,0,normal,normal,drift,0.9217,0.9379,115.451,866.268,0.8515,102.13
22,dram,results/sample_dataset/reference/00022.png,results/sample_dataset/search/00022.png,406.9,555.9,200206,0,normal,normal,drift,1.054,-1.5773,407.758,556.068,0.9501,68.48
23,dram,results/sample_dataset/reference/00023.png,results/sample_dataset/search/00023.png,319.0,616.3,200207,0,normal,normal,drift,1.0838,-0.5247,319.248,616.324,0.9834,33.99
24,dram,results/sample_dataset/reference/00024.png,results/sample_dataset/search/00024.png,752.2,526.4,200300,0,normal,harsh,drift,1.0714,1.9906,753.521,526.137,0.3756,34.07
25,dram,results/sample_dataset/reference/00025.png,results/sample_dataset/search/00025.png,343.7,582.8,200301,0,normal,harsh,drift,0.9165,-1.859,343.366,582.735,0.9541,67.78
26,dram,results/sample_dataset/reference/00026.png,results/sample_dataset/search/00026.png,561.9,698.9,200302,0,normal,harsh,drift,0.9602,1.3839,561.174,699.231,0.9418,68.10
27,dram,results/sample_dataset/reference/00027.png,results/sample_dataset/search/00027.png,732.5,942.5,200303,0,normal,harsh,drift,0.988,-1.3331,732.635,941.413,0.3049,34.33
28,dram,results/sample_dataset/reference/00028.png,results/sample_dataset/search/00028.png,264.5,115.3,200304,0,normal,harsh,drift,0.9459,-0.0081,263.313,114.295,0.5805,34.05
29,dram,results/sample_dataset/reference/00029.png,results/sample_dataset/search/00029.png,907.3,934.8,200305,0,normal,harsh,drift,1.0316,-0.1088,911.047,942.965,0.5896,33.97
30,dram,results/sample_dataset/reference/00030.png,results/sample_dataset/search/00030.png,710.4,668.0,200306,0,normal,harsh,drift,0.9219,-1.0036,709.913,668.036,0.9478,33.75
31,dram,results/sample_dataset/reference/00031.png,results/sample_dataset/search/00031.png,884.6,663.9,200307,0,normal,harsh,drift,1.0399,-0.7782,882.992,663.730,0.8465,33.90
